X,Y
0.742188,0.0122895
0.78125,0.0115603
0.820312,0.0108413
0.859375,0.010136
0.898438,0.00944781
0.9375,0.00877954
0.976562,0.00813372
1.01562,0.00751249
1.05469,0.00691759
1.09375,0.00635043
1.13281,0.00581203
1.17188,0.0053031
1.21094,0.00482402
1.25,0.00437487
1.28906,0.00395548
1.32812,0.00356541
1.36719,0.00320403
1.40625,0.00287052
1.44531,0.00256391
1.48438,0.00228309
1.52344,0.00202684
1.5625,0.00179387
1.60156,0.00158286
1.64062,0.00139242
1.67969,0.00122117
1.71875,0.00106773
1.75781,0.000930722
1.79688,0.00080883
1.83594,0.000700765
1.875,0.000605292
1.91406,0.000521236
1.95312,0.000447489
1.99219,0.000383007
2.03125,0.00032682
2.07031,0.000278028
2.10938,0.000235801
2.14844,0.000199379
2.1875,0.00016807
2.22656,0.000141247
2.26562,0.000118344
2.30469,9.88533e-05
2.34375,8.23214e-05
2.38281,6.83458e-05
2.42188,5.65703e-05
2.46094,4.66812e-05
2.5,3.84037e-05
2.53906,3.14979e-05
2.57812,2.57554e-05
2.61719,2.09957e-05
2.65625,1.70636e-05
2.69531,1.38258e-05
2.73438,1.11682e-05
2.77344,8.9941e-06
2.8125,7.22117e-06
2.85156,5.78009e-06
2.89062,4.61253e-06
2.92969,3.66962e-06
2.96875,2.91058e-06
3.00781,2.30152e-06
3.04688,1.81438e-06
3.08594,1.426e-06
3.125,1.11734e-06
3.16406,8.72832e-07
3.20312,6.79755e-07
3.24219,5.27777e-07
3.28125,4.08532e-07
3.32031,3.15267e-07
3.35938,2.42554e-07
3.39844,1.86043e-07
3.4375,1.42265e-07
3.47656,1.08457e-07
3.51562,8.24317e-08
3.55469,6.24609e-08
3.59375,4.71844e-08
3.63281,3.55358e-08
3.67188,2.66814e-08
3.71094,1.99724e-08
3.75,1.49048e-08
3.78906,1.10892e-08
3.82812,8.22528e-09
3.86719,6.08243e-09
3.90625,4.48416e-09
3.94531,3.2958e-09
3.98438,2.415e-09
4.02344,1.7642e-09
4.0625,1.28487e-09
4.10156,9.32917e-10
4.14062,6.75312e-10
4.17969,4.87352e-10
4.21875,3.50636e-10
4.25781,2.51505e-10
4.29688,1.79851e-10
4.33594,1.2822e-10
4.375,9.11327e-11
4.41406,6.45757e-11
4.45312,4.56184e-11
4.49219,3.21282e-11
4.53125,2.25585e-11
4.57031,1.57909e-11
4.60938,1.102e-11
4.64844,7.66714e-12
4.6875,5.31814e-12
4.72656,3.67758e-12
4.76562,2.53537e-12
4.80469,1.74259e-12
4.84375,1.19406e-12
4.88281,8.15699e-13
4.92188,5.55535e-13
4.96094,3.77197e-13
5,2.5533e-13
5.03906,1.7231e-13
5.07812,1.15929e-13
5.11719,7.77595e-14
5.15625,5.19983e-14
5.19531,3.46657e-14
5.23438,2.30402e-14
5.27344,1.52668e-14
5.3125,1.00853e-14
5.35156,6.64202e-15
5.39062,4.36103e-15
5.42969,2.85465e-15
5.46875,1.86292e-15
5.50781,1.21202e-15
5.54688,7.86139e-16
5.58594,5.08353e-16
5.625,3.27723e-16
5.66406,2.10632e-16
5.70312,1.34964e-16
5.74219,8.62156e-17
5.78125,5.49072e-17
5.82031,3.48617e-17
5.85938,2.2067e-17
5.89844,1.39256e-17
5.9375,8.7611e-18
5.97656,5.49514e-18
6.01562,3.43617e-18
6.05469,2.14213e-18
6.09375,1.33136e-18
6.13281,8.24928e-19
6.17188,5.0958e-19
6.21094,3.13824e-19
6.25,1.92679e-19
6.28906,1.17939e-19
6.32812,7.19708e-20
6.36719,4.37854e-20
6.40625,2.65576e-20
6.44531,1.60588e-20
6.48438,9.68096e-21
6.52344,5.81809e-21
6.5625,3.4862e-21
6.60156,2.08236e-21
6.64062,1.24008e-21
6.67969,7.36209e-22
6.71875,4.35845e-22
6.75781,2.57157e-22
6.79688,1.51322e-22
6.83594,8.87447e-23
6.875,5.19114e-23
6.91406,3.02437e-23
6.95312,1.75781e-23
6.99219,1.01872e-23
7.03125,5.88074e-24
7.07031,3.38292e-24
7.10938,1.94205e-24
7.14844,1.1103e-24
7.1875,6.35603e-25
7.22656,3.62687e-25
7.26562,2.05023e-25
7.30469,1.15892e-25
7.34375,6.56818e-26
7.38281,3.66873e-26
7.42188,2.03914e-26
7.46094,1.14601e-26
7.5,6.32633e-27
7.53906,3.51969e-27
7.57812,2.12062e-27
7.61719,1.13102e-27
7.65625,6.62779e-28
7.69531,3.23181e-28
7.73438,2.15526e-28
7.77344,9.28111e-29
7.8125,5.86276e-29
7.85156,2.33195e-29
7.89062,2.03842e-29
7.92969,1.06841e-29
7.96875,6.14904e-30
8.00781,3.10232e-30
8.04688,6.05752e-30
8.08594,4.45641e-31
8.125,4.37674e-31
8.16406,1.67938e-30
8.20312,3.06263e-31
8.24219,1.65297e-30
