X,Y
-8.32031,1.89679e-32
-8.28125,3.62794e-32
-8.24219,6.91789e-32
-8.20312,1.31511e-31
-8.16406,2.49244e-31
-8.125,4.70938e-31
-8.08594,8.87107e-31
-8.04688,1.66595e-30
-8.00781,3.11907e-30
-7.96875,5.82185e-30
-7.92969,1.08336e-29
-7.89062,2.00982e-29
-7.85156,3.71722e-29
-7.8125,6.85415e-29
-7.77344,1.25998e-28
-7.73438,2.30913e-28
-7.69531,4.21897e-28
-7.65625,7.68493e-28
-7.61719,1.39556e-27
-7.57812,2.52657e-27
-7.53906,4.56025e-27
-7.5,8.20579e-27
-7.46094,1.47207e-26
-7.42188,2.63274e-26
-7.38281,4.69423e-26
-7.34375,8.3444e-26
-7.30469,1.47877e-25
-7.26562,2.61265e-25
-7.22656,4.60188e-25
-7.1875,8.08099e-25
-7.14844,1.41471e-24
-7.10938,2.46915e-24
-7.07031,4.29635e-24
-7.03125,7.45294e-24
-6.99219,1.28893e-23
-6.95312,2.22232e-23
-6.91406,3.81996e-23
-6.875,6.54614e-23
-6.83594,1.11837e-22
-6.79688,1.90485e-22
-6.75781,3.23453e-22
-6.71875,5.47566e-22
-6.67969,9.24137e-22
-6.64062,1.55493e-21
-6.60156,2.60831e-21
-6.5625,4.36197e-21
-6.52344,7.27245e-21
-6.48438,1.2088e-20
-6.44531,2.00309e-20
-6.40625,3.3092e-20
-6.36719,5.45029e-20
-6.32812,8.94933e-20
-6.28906,1.465e-19
-6.25,2.39088e-19
-6.21094,3.89002e-19
-6.17188,6.30989e-19
-6.13281,1.02039e-18
-6.09375,1.64507e-18
-6.05469,2.64411e-18
-6.01562,4.23689e-18
-5.97656,6.76847e-18
-5.9375,1.07797e-17
-5.89844,1.71159e-17
-5.85938,2.70936e-17
-5.82031,4.27572e-17
-5.78125,6.72706e-17
-5.74219,1.05515e-16
-5.70312,1.64999e-16
-5.66406,2.5723e-16
-5.625,3.99794e-16
-5.58594,6.19478e-16
-5.54688,9.56951e-16
-5.50781,1.47377e-15
-5.46875,2.26278e-15
-5.42969,3.46361e-15
-5.39062,5.28557e-15
-5.35156,8.04136e-15
-5.3125,1.21967e-14
-5.27344,1.84428e-14
-5.23438,2.78028e-14
-5.19531,4.17854e-14
-5.15625,6.26087e-14
-5.11719,9.35234e-14
-5.07812,1.39277e-13
-5.03906,2.06783e-13
-5,3.06072e-13
-4.96094,4.51655e-13
-4.92188,6.64454e-13
-4.88281,9.74536e-13
-4.84375,1.42497e-12
-4.80469,2.07724e-12
-4.76562,3.01887e-12
-4.72656,4.37397e-12
-4.6875,6.31803e-12
-4.64844,9.09835e-12
-4.60938,1.30622e-11
-4.57031,1.8696e-11
-4.53125,2.66779e-11
-4.49219,3.79517e-11
-4.45312,5.38252e-11
-4.41406,7.61052e-11
-4.375,1.0728e-10
-4.33594,1.50763e-10
-4.29688,2.11226e-10
-4.25781,2.95036e-10
-4.21875,4.10843e-10
-4.17969,5.70365e-10
-4.14062,7.89412e-10
-4.10156,1.08925e-09
-4.0625,1.49841e-09
-4.02344,2.05497e-09
-3.98438,2.80966e-09
-3.94531,3.82982e-09
-3.90625,5.20448e-09
-3.86719,7.051e-09
-3.82812,9.52355e-09
-3.78906,1.28239e-08
-3.75,1.72155e-08
-3.71094,2.30405e-08
-3.67188,3.07424e-08
-3.63281,4.08939e-08
-3.59375,5.42319e-08
-3.55469,7.1701e-08
-3.51562,9.45085e-08
-3.47656,1.24191e-07
-3.4375,1.62699e-07
-3.39844,2.12498e-07
-3.35938,2.76693e-07
-3.32031,3.59184e-07
-3.28125,4.64846e-07
-3.24219,5.9976e-07
-3.20312,7.71471e-07
-3.16406,9.89319e-07
-3.125,1.26482e-06
-3.08594,1.61211e-06
-3.04688,2.0485e-06
-3.00781,2.59508e-06
-2.96875,3.27749e-06
-2.92969,4.12673e-06
-2.89062,5.18018e-06
-2.85156,6.48275e-06
-2.8125,8.08813e-06
-2.77344,1.00603e-05
-2.73438,1.24752e-05
-2.69531,1.54228e-05
-2.65625,1.90086e-05
-2.61719,2.33567e-05
-2.57812,2.8612e-05
-2.53906,3.49429e-05
-2.5,4.25446e-05
-2.46094,5.16422e-05
-2.42188,6.24943e-05
-2.38281,7.53963e-05
-2.34375,9.06847e-05
-2.30469,0.000108741
-2.26562,0.000129995
-2.22656,0.00015493
-2.1875,0.000184085
-2.14844,0.00021806
-2.10938,0.000257518
-2.07031,0.00030319
-2.03125,0.000355874
-1.99219,0.00041644
-1.95312,0.000485829
-1.91406,0.000565052
-1.875,0.000655192
-1.83594,0.000757396
-1.79688,0.000872876
-1.75781,0.0010029
-1.71875,0.00114878
-1.67969,0.00131186
-1.64062,0.00149354
-1.60156,0.00169519
-1.5625,0.00191821
-1.52344,0.00216395
-1.48438,0.00243374
-1.44531,0.00272882
-1.40625,0.00305036
-1.36719,0.00339939
-1.32812,0.00377682
-1.28906,0.00418336
-1.25,0.00461955
-1.21094,0.00508568
-1.17188,0.00558178
-1.13281,0.0061076
-1.09375,0.00666259
-1.05469,0.00724587
-1.01562,0.00785621
-0.976562,0.00849199
-0.9375,0.00915126
-0.898438,0.00983166
-0.859375,0.0105305
-0.820312,0.0112446
-0.78125,0.0119705
-0.742188,0.0127045
-0.703125,0.0134424
-0.664062,0.0141798
-0.625,0.0149121
-0.585938,0.0156344
-0.546875,0.0163418
-0.507812,0.0170291
-0.46875,0.0176913
-0.429688,0.0183232
-0.390625,0.0189198
-0.351562,0.0194764
-0.3125,0.0199882
-0.273438,0.020451
-0.234375,0.0208607
-0.195312,0.0212138
-0.15625,0.0215071
-0.117188,0.0217381
-0.078125,0.0219046
-0.0390625,0.0220051
0,0.0220387
0.0390625,0.0220051
0.078125,0.0219046
0.117188,0.0217381
0.15625,0.0215071
0.195312,0.0212138
0.234375,0.0208607
0.273438,0.020451
0.3125,0.0199882
0.351562,0.0194764
0.390625,0.0189198
0.429688,0.0183232
0.46875,0.0176913
0.507812,0.0170291
0.546875,0.0163418
0.585938,0.0156344
0.625,0.0149121
0.664062,0.0141798
0.703125,0.0134424
0.742188,0.0127045
0.78125,0.0119705
0.820312,0.0112446
0.859375,0.0105305
0.898438,0.00983166
0.9375,0.00915126
0.976562,0.00849199
1.01562,0.00785621
1.05469,0.00724587
1.09375,0.00666259
1.13281,0.0061076
1.17188,0.00558178
1.21094,0.00508568
1.25,0.00461955
1.28906,0.00418336
1.32812,0.00377682
1.36719,0.00339939
1.40625,0.00305036
1.44531,0.00272882
1.48438,0.00243374
1.52344,0.00216395
1.5625,0.00191821
1.60156,0.00169519
1.64062,0.00149354
1.67969,0.00131186
1.71875,0.00114878
1.75781,0.0010029
1.79688,0.000872876
1.83594,0.000757396
1.875,0.000655192
1.91406,0.000565052
1.95312,0.000485829
1.99219,0.00041644
2.03125,0.000355874
2.07031,0.00030319
2.10938,0.000257518
2.14844,0.00021806
2.1875,0.000184085
2.22656,0.00015493
2.26562,0.000129995
2.30469,0.000108741
2.34375,9.06847e-05
2.38281,7.53963e-05
2.42188,6.24943e-05
2.46094,5.16422e-05
2.5,4.25446e-05
2.53906,3.49429e-05
2.57812,2.8612e-05
2.61719,2.33567e-05
2.65625,1.90086e-05
2.69531,1.54228e-05
2.73438,1.24752e-05
2.77344,1.00603e-05
2.8125,8.08813e-06
2.85156,6.48275e-06
2.89062,5.18018e-06
2.92969,4.12673e-06
2.96875,3.27749e-06
3.00781,2.59508e-06
3.04688,2.0485e-06
3.08594,1.61211e-06
3.125,1.26482e-06
3.16406,9.89319e-07
3.20312,7.71471e-07
3.24219,5.9976e-07
3.28125,4.64846e-07
3.32031,3.59184e-07
3.35938,2.76693e-07
3.39844,2.12498e-07
3.4375,1.62699e-07
3.47656,1.24191e-07
3.51562,9.45085e-08
3.55469,7.1701e-08
3.59375,5.42319e-08
3.63281,4.08939e-08
3.67188,3.07424e-08
3.71094,2.30405e-08
3.75,1.72155e-08
3.78906,1.28239e-08
3.82812,9.52355e-09
3.86719,7.051e-09
3.90625,5.20448e-09
3.94531,3.82982e-09
3.98438,2.80966e-09
4.02344,2.05497e-09
4.0625,1.49841e-09
4.10156,1.08925e-09
4.14062,7.89412e-10
4.17969,5.70365e-10
4.21875,4.10843e-10
4.25781,2.95036e-10
4.29688,2.11226e-10
4.33594,1.50763e-10
4.375,1.0728e-10
4.41406,7.61052e-11
4.45312,5.38252e-11
